아니 둘다 죽으면 어찌되는데????	ㅇㅇ	1485032837
써니 왜 뒤짐? 김신이 써니 죽은거암?	ㅇㅇ	1485032837
저승사자되는데 시간 개오래걸리지않음?ㅋㅋㅋㅋㅋ	ㅇㅇ	1485032835
15화 제일 슬픈씬 이산가족 제일 웃긴씬 지잉	ㅇㅇ	1485032834
설마 써니,탁이 죽고 김신, 저승이 런웨이하면서 염라국 출동은	ㅇㅇ	1485032832
자살해야 저승사자되니까 ㅠㅠ	애미다~	1485032830
교통사고 넘 많다...	ㅇㅇ	1485032829
은숙이 다 죽이면 진짜 왜 티비엔 갔는지 이해될듯 ㅋㅋㅋㅋ	ㅇㅇ	1485032828
다죽고 인간이 아닌 모습으로	ㅇㅇ	1485032825
도깨비 막방땜에 예매한 영화 취소함 ㅋㅋㅋㅋㅋ	ㅇㅇ	1485032825
얘들아 김은숙이야 ㅋㅋㅋㅋㅋㅋ 해피다	ㅇㅇ	1485032825
다 죽어도 좋다 눈물 쏙빠지게 ㅜㅜ	ㅇㅇ	1485032825
근데 써니 저승사자되면 기억없어지잖아?	ㅇㅇ	1485032824
근데 마지막회를 2시간이나한다는거야?	ㅇㅇ	1485032824
은숙이가 새드를 쓸리없다고 생각했는데	ㅇㅇ	1485032824
예고가 새드여야 사람들이 팔딱팔딱 낚이고 본다	ㅇㅇ	1485032823
공유 미쳤다ㅋㅋㅋㅋㅋㅋㅋㅋㅋ씨밯	ㅇㅇ	1485032821
음 막판까지 예고로 낚시하네 ㅋ	ㅇㅇ	1485032816
써니는 죽었고 은탁이는 어찌될찌	ㅇㅇ	1485032812
아니 이모도 귀신임??	ㅇㅇ	1485032812
장고 쟤는 왜 저러냐?	ㅇㅇ	1485032812
써니 탁이 죽어서 깨비랑 저승이가 염라대왕 찾아가냐?ㅋㅋㅋ	ㅇㅇ	1485032814
써니랑 은탁이 둘다죽나보네 헐	ㅇㅇ	1485032810
은숙이의 새드를 응원합니다	ㅇㅇ	1485032810
은탁이 이모 귀신이지??	ㅇㅇ	1485032810
다죽이냐?	ㅇㅇ	1485032809
저승사자 감기걸렸니	ㅇㅇ	1485032808
40분까지 광고함?	ㅇㅇ	1485032807
보이스 55분후 방송됩니다	ㅇㅇ	1485032805
써니 죽는게 더애절	ㅇㅇ	1485032803
은숙아 그르지마 그르지마 왜그래	ㅇㅇ	1485032803
[속보] 김은숙 과로로 마지막회 임성한작가에게 대필 부탁	ㅇㅇ	1485032800
뭐야 다 죽어 뭐냐 ㅅㅂ ㅋㅋ	ㅇㅇ	1485032796
1회 때 엄마 사고나던 그대로 죽나??	ㅇㅇ	1485032792
그냥다죽이고 끝내자	ㅇㅇ	1485032790
죽는거냐...	ㅇㅇ	1485032790
김은희 :[씨익]	ㅇㅇ	1485032789
이번에 다죽이냐?	ㅇㅇ	1485032789
은숙이 속셈이 뭐냐 아오 씨 미치겠네	ㅁㅁ	1485032788
아니 근데 왤케 짧아? 편성표랑 다르잖아 시발 ㅋㅋㅋㅋ	ㅇㅇ	1485032787
기타누락자  사고 써니 자살	ㅇㅇ	1485032787
40분되야 시작하네	ㅇㅇ	1485032786
15화는 공유 매력발산 회차닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	ㅇㅇ	1485032786
15회 60분 밖에 안했어  ㅠ	ㅇㅇ	1485032786
ㅅㅂ 인간들은 다 죽이냐 ㅜㅜㅜㅜ나방놈 ㅜㅠ	ㅇㅇ	1485032784
헐 써니 방금 죽었음??	ㅇㅇ	1485032783
아 장고 시바 꺼지라	ㅇㅇ	1485032784
다죽는거ㅗ냐	ㅇㅇ	1485032783
지은탁은안죽지 세드일리없어	ㅇㅇ	1485032784
은탁 써니 둘다 죽나보네	ㅇㅇ	1485032787
도깨비 마지막회 눈물 펑펑각이네 ㅠㅠㅠㅠㅠㅠㅠㅜ	ㅇㅇ	1485032782
일단 써니가 죽는건 확정아님?	ㅇㅇ	1485032782
4명 다 죽고 저승 가서 놀자 개꿀ㄹㅇㅋㅋㅋㅋ	킹니갓니	1485032782
웬지 김신 은탁 써니 저승이 모두 사망각이다 ㄷㄷㄷㄷㄷ	ㅇㅇ	1485032782
뭐야 다 죽는 거야ㅠㅠ	ㅇㅇ	1485032782
미풍이 아바지 등장 시키고	ㅇㅇ	1485032779
길가다가 너무 예쁘셔서 커퓌라도 하고 싶네요 뭐임	ㅇㅇ	1485032779
오늘 왜이렇게 노잼이야 도깨비 ㅠ	ㅇㅇ	1485032779
헐 이제훈은 연기가 왜 또 저러냐	ㅇㅇ	1485032779
ㅁㅊ 구혜선 안재현 ㅋㅋㅋㅋㅋㅋ	ㅇㅇ	1485032777
우와 씬난다 지은탁 쥬금 하하핫	ㅇㅇ	1485032776
16화 9시 40분 시작 맞냐	ㅇㅇ	1485032775
미친 둘다죽는거냐;;;;;	ㅇㅇ	1485032773
ㅋㅋㅋㅋㅋㅋㅋ방금 이제훈 예고ㅋㅋㅋㅋㅋㅋ	ㅇㅇ	1485032773
여주, 섭녀 둘다 죽는필인데? ㅡ.ㅡ	ㅇㅇ	1485032770
써니 지은탁 죽으면 은숙이 ㅇㅈ한다	ㅇㅇ	1485032768
저승이가 기타누락자 살려서 은탁이가 미안하다고하는가	ㅇㅇ	1485032765
